010102,0
010115,0
010103,0
010706,1
011511,2
011515,3
020101,4
020123,5
020323,5
020130,5
020501,5
020523,5
020723,5
020901,6
030124,7
030108,7
030201,8
030224,8
030404,8
030411,8
030114,8
020120,9
030301,9
030420,10
030421,10
030424,10
030418,10
030425,10
030501,11
030520,11
030524,11
030525,11
030526,11
030125,11
030126,11
030519,11
030724,12
030915,13
030916,13
030924,13
030925,13
030910,13
040503,14
050105,15
050111,15
050116,15
050117,15
050101,15
050102,15
050313,16
050520,17
060102,18
060104,18
070112,19
070124,19
070125,19
070109,19
110304,20
110105,20
080703,20
080705,20
110307,20
110102,20
110104,20
110106,20
110318,20
090110,21
090313,21
090705,21
090709,21
090717,21
090719,21
090722,21
090725,21
180105,22
180109,22
180123,22
240103,23
240109,23
240113,23
240115,23
241301,23
241322,23
241325,23
240309,24
240901,25
240902,25
240905,25
240907,25
240909,25
240913,25
240916,25
240925,25
250105,26
250110,26
250125,26
250106,26
250118,26
260103,27
260104,27
260301,28
260305,28
260307,28
260304,28
260404,29
270508,30
